#group,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string
#default,mean,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,host,topic
,,0,2023-06-21T05:43:12.987039439Z,2023-06-22T05:43:12.987039439Z,2023-06-21T07:28:00Z,1,AvgPF,mqtt_consumer,baadalvm,/devices/swsn/FSM-8822980/0
,,0,2023-06-21T05:43:12.987039439Z,2023-06-22T05:43:12.987039439Z,2023-06-21T07:32:00Z,1,AvgPF,mqtt_consumer,baadalvm,/devices/swsn/FSM-8822980/0
,,0,2023-06-21T05:43:12.987039439Z,2023-06-22T05:43:12.987039439Z,2023-06-21T07:36:00Z,1,AvgPF,mqtt_consumer,baadalvm,/devices/swsn/FSM-8822980/0
,,0,2023-06-21T05:43:12.987039439Z,2023-06-22T05:43:12.987039439Z,2023-06-21T07:40:00Z,1,AvgPF,mqtt_consumer,baadalvm,/devices/swsn/FSM-8822980/0
,,0,2023-06-21T05:43:12.987039439Z,2023-06-22T05:43:12.987039439Z,2023-06-21T07:44:00Z,1,AvgPF,mqtt_consumer,baadalvm,/devices/swsn/FSM-8822980/0
,,0,2023-06-21T05:43:12.987039439Z,2023-06-22T05:43:12.987039439Z,2023-06-21T07:48:00Z,1,AvgPF,mqtt_consumer,baadalvm,/devices/swsn/FSM-8822980/0
,,0,2023-06-21T05:43:12.987039439Z,2023-06-22T05:43:12.987039439Z,2023-06-21T07:52:00Z,1,AvgPF,mqtt_consumer,baadalvm,/devices/swsn/FSM-8822980/0
,,0,2023-06-21T05:43:12.987039439Z,2023-06-22T05:43:12.987039439Z,2023-06-21T07:56:00Z,1,AvgPF,mqtt_consumer,baadalvm,/devices/swsn/FSM-8822980/0
,,0,2023-06-21T05:43:12.987039439Z,2023-06-22T05:43:12.987039439Z,2023-06-21T08:00:00Z,1,AvgPF,mqtt_consumer,baadalvm,/devices/swsn/FSM-8822980/0
,,0,2023-06-21T05:43:12.987039439Z,2023-06-22T05:43:12.987039439Z,2023-06-21T08:04:00Z,1,AvgPF,mqtt_consumer,baadalvm,/devices/swsn/FSM-8822980/0
